datetime,energy_kwh,hour,day_of_week,is_weekend,prev_hour_energy,rolling_3h_avg,rolling_6h_avg,target_next_hour
2016-01-01 05:00:00,207.2623248532446,5,4,0,207.1769270416442,206.26654969921904,205.7707978357386,214.4490316190852
2016-01-01 06:00:00,214.4490316190852,6,4,0,207.2623248532446,209.62942783799133,207.30445525975927,230.07829080228845
2016-01-01 07:00:00,230.07829080228845,7,4,0,214.4490316190852,217.2632157582061,211.32803456147872,218.5294275588633
2016-01-01 08:00:00,218.5294275588633,8,4,0,230.07829080228845,221.018916660079,213.642733179649,219.3585299899122
2016-01-01 09:00:00,219.3585299899122,9,4,0,218.5294275588633,222.65541611702133,216.1424219775063,218.21257371380685
2016-01-01 10:00:00,218.21257371380685,10,4,0,219.3585299899122,218.70017708752744,217.98169642286678,216.8667515267087
2016-01-01 11:00:00,216.8667515267087,11,4,0,218.21257371380685,218.14595174347588,219.58243420177743,217.79286759259833
2016-01-01 12:00:00,217.79286759259833,12,4,0,216.8667515267087,217.6240642777046,220.13974019736295,218.0448664245628
2016-01-01 13:00:00,218.0448664245628,13,4,0,217.79286759259833,217.56816184795662,218.13416946774203,218.4951485884278
2016-01-01 14:00:00,218.4951485884278,14,4,0,218.0448664245628,218.11096086852965,218.1284563060028,219.41319811040054
2016-01-01 15:00:00,219.41319811040054,15,4,0,218.4951485884278,218.6510710411304,218.13756765941753,220.1933327786624
2016-01-01 16:00:00,220.1933327786624,16,4,0,219.41319811040054,219.3672264924969,218.46769417022676,221.0214979541324
2016-01-01 17:00:00,221.0214979541324,17,4,0,220.1933327786624,220.20934294773178,219.16015190813073,219.89789752831106
2016-01-01 18:00:00,219.89789752831106,18,4,0,221.0214979541324,220.37090942036863,219.51099023074948,216.7679862994745
2016-01-01 19:00:00,216.7679862994745,19,4,0,219.89789752831106,219.22912726063933,219.29817687656814,214.88703727135092
2016-01-01 20:00:00,214.88703727135092,20,4,0,216.7679862994745,217.18430703304549,218.69682499038865,213.80900897744883
2016-01-01 21:00:00,213.80900897744883,21,4,0,214.88703727135092,215.1546775160914,217.76279346823003,212.16106783218237
2016-01-01 22:00:00,212.16106783218237,22,4,0,213.80900897744883,213.61903802699405,216.42408264381666,209.77954750068892
2016-01-01 23:00:00,209.77954750068892,23,4,0,212.16106783218237,211.91654143677337,214.55042423490943,209.20076913343885
2016-01-02 00:00:00,209.20076913343885,0,5,1,209.77954750068892,210.38046148877004,212.76756950243075,209.4650905715392
2016-01-02 01:00:00,209.4650905715392,1,5,1,209.20076913343885,209.48180240188898,211.55042021444152,209.57199916691803
2016-01-02 02:00:00,209.57199916691803,2,5,1,209.4650905715392,209.41261962396538,210.66458053036936,209.50738999135498
2016-01-02 03:00:00,209.50738999135498,3,5,1,209.57199916691803,209.51482657660407,209.9476440326871,209.62864935248314
2016-01-02 04:00:00,209.62864935248314,4,5,1,209.50738999135498,209.56934617025206,209.52557428607054,211.02182599358503
2016-01-02 05:00:00,211.02182599358503,5,5,1,209.62864935248314,210.05262177914105,209.7326207015532,214.79225153911577
2016-01-02 06:00:00,214.79225153911577,6,5,1,211.02182599358503,211.8142422950613,210.6645344358327,217.26336428504646
2016-01-02 07:00:00,217.26336428504646,7,5,1,214.79225153911577,214.35914727258242,211.96424672141725,221.51123704138524
2016-01-02 08:00:00,221.51123704138524,8,5,1,217.26336428504646,217.85561762184918,213.95411970049508,221.99515285217248
2016-01-02 09:00:00,221.99515285217248,9,5,1,221.51123704138524,220.2565847262014,216.03541351063134,219.97704184777018
2016-01-02 10:00:00,219.97704184777018,10,5,1,221.99515285217248,221.16114391377596,217.7601455931792,218.8974002450846
2016-01-02 11:00:00,218.8974002450846,11,5,1,219.97704184777018,220.28986498167578,219.07274130176245,219.78266118664084
2016-01-02 12:00:00,219.78266118664084,12,5,1,218.8974002450846,219.55236775983187,219.9044762430166,220.20233657815822
2016-01-02 13:00:00,220.20233657815822,13,5,1,219.78266118664084,219.62746600329456,220.39430495853526,220.6825801908575
2016-01-02 14:00:00,220.6825801908575,14,5,1,220.20233657815822,220.22252598521882,220.2561954834473,219.730190239067
2016-01-02 15:00:00,219.730190239067,15,5,1,220.6825801908575,220.2050356693609,219.87870171459636,216.7183885780196
2016-01-02 16:00:00,216.7183885780196,16,5,1,219.730190239067,219.0437196693147,219.3355928363046,216.54617938902766
2016-01-02 17:00:00,216.54617938902766,17,5,1,216.7183885780196,217.6649194020381,218.94372269362847,215.15682859446923
